Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpim53txpi.wav,0.471,0.104,0.909,5.18
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp_uspqaqd.wav,0.773,0.069,0.907,3.32
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp2o675oyd.wav,0.615,0.039,0.904,2.11
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpbiyewl9_.wav,0.469,0.195,0.874,4.71
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpnlfyq7_h.wav,0.6,0.176,0.911,1.52
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp8i6eot4m.wav,0.769,0.019,0.882,2.08
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp_u9j1a0h.wav,0.579,0.057,0.931,3.35
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpln58hw68.wav,0.575,0.195,0.914,5.78
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp_9nc410y.wav,0.611,0.056,0.914,5.89
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpg6h0ad_3.wav,0.458,0.295,0.959,3.77
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp2uisrp3g.wav,0.476,0.187,0.891,3.27
de_de,C:\Users\prakh\AppData\Local\Temp\tmp18i_awjb.wav,0.083,0.919,0.993,1.44
de_de,C:\Users\prakh\AppData\Local\Temp\tmpfvmugoy_.wav,0.059,0.946,0.994,1.51
de_de,C:\Users\prakh\AppData\Local\Temp\tmpeboclqq7.wav,0.042,0.485,0.985,1.51
de_de,C:\Users\prakh\AppData\Local\Temp\tmpasoahh8g.wav,0.211,0.493,0.918,1.23
de_de,C:\Users\prakh\AppData\Local\Temp\tmp3ade0p_k.wav,0.139,0.695,0.958,2.14
de_de,C:\Users\prakh\AppData\Local\Temp\tmpstdsr8ji.wav,0.179,0.539,0.965,1.7
de_de,C:\Users\prakh\AppData\Local\Temp\tmpg9kk61m2.wav,0.182,0.448,0.966,0.87
de_de,C:\Users\prakh\AppData\Local\Temp\tmp8_q0834v.wav,0.222,0.656,0.974,1.7
de_de,C:\Users\prakh\AppData\Local\Temp\tmpvg5id0gw.wav,0.226,0.595,0.957,2.36
de_de,C:\Users\prakh\AppData\Local\Temp\tmpquyg1oxo.wav,0.138,0.723,0.97,1.86
de_de,C:\Users\prakh\AppData\Local\Temp\tmpt4l4w2ct.wav,0.136,0.84,0.994,1.73
de_de,C:\Users\prakh\AppData\Local\Temp\tmp9pniblvp.wav,0.364,0.641,0.967,1.03
de_de,C:\Users\prakh\AppData\Local\Temp\tmptzjzrzlw.wav,0.15,0.671,0.977,1.56
de_de,C:\Users\prakh\AppData\Local\Temp\tmpi2ryx2ks.wav,0.174,0.716,0.984,1.61
de_de,C:\Users\prakh\AppData\Local\Temp\tmp3kl3i_xz.wav,0.412,0.481,0.948,1.51
de_de,C:\Users\prakh\AppData\Local\Temp\tmpxtyauybo.wav,0.227,0.668,0.957,1.55
de_de,C:\Users\prakh\AppData\Local\Temp\tmpg_dn0k4l.wav,0.192,0.583,0.958,1.79
de_de,C:\Users\prakh\AppData\Local\Temp\tmpwlyf1zjd.wav,0.214,0.912,0.986,1.02
de_de,C:\Users\prakh\AppData\Local\Temp\tmpz6wjyo23.wav,0.194,0.511,0.951,2.05
de_de,C:\Users\prakh\AppData\Local\Temp\tmpt0ygljzh.wav,0.222,0.486,0.953,1.3
de_de,C:\Users\prakh\AppData\Local\Temp\tmpxl_ql75g.wav,0.136,0.665,0.966,2.9
